DATAHORA,ALTURA,INFLEXAO,t,T,n1,n2,h1,h2
2006-07-08 19:30:00,0.7837215171372411,False,285,343,1.8,0.7,0.0761104701247648,0.9238895298752352
2006-07-08 19:40:00,0.758596873384825,False,295,343,1.8,0.7,0.053269884895295494,0.9467301151047045
2006-07-08 19:50:00,0.7375120172033192,False,305,343,1.8,0.7,0.03410183382119936,0.9658981661788006
2006-07-08 20:00:00,0.7207940568980611,False,315,343,1.8,0.7,0.018903688089146442,0.9810963119108536
2006-07-08 20:10:00,0.7087701007743865,False,325,343,1.8,0.7,0.007972818885805921,0.9920271811141941
2006-07-08 20:20:00,0.7017672571376333,False,335,343,1.8,0.7,0.0016065973978485193,0.9983934026021515
2006-07-08 20:28:00,0.7,True,0,0,,,,
2006-07-08 20:30:00,0.7001173081235875,False,2,364,0.7,2.0,0.9999097629818557,9.023701814427574e-05
2006-07-08 20:40:00,0.7041454620732486,False,12,364,0.7,2.0,0.996811183020578,0.003188816979421979
2006-07-08 20:50:00,0.7136724343160763,False,22,364,0.7,2.0,0.9894827428337873,0.010517257166212607
2006-07-08 21:00:00,0.7283747649524729,False,32,364,0.7,2.0,0.9781732577288669,0.02182674227113305
2006-07-08 21:10:00,0.7479289940828402,False,42,364,0.7,2.0,0.9631315430131998,0.03686845698680019
2006-07-08 21:20:00,0.7720116618075801,False,52,364,0.7,2.0,0.9446064139941691,0.0553935860058309
2006-07-08 21:30:00,0.8002993082270946,False,62,364,0.7,2.0,0.9228466859791579,0.07715331402084209
2006-07-08 21:40:00,0.8324684734417858,False,72,364,0.7,2.0,0.8981011742755494,0.10189882572445065
2006-07-08 21:50:00,0.8681956975520555,False,82,364,0.7,2.0,0.8706186941907266,0.12938130580927346
2006-07-08 22:00:00,0.9071575206583055,False,92,364,0.7,2.0,0.8406480610320726,0.15935193896792738
2006-07-08 22:10:00,0.9490304828609382,False,102,364,0.7,2.0,0.8084380901069707,0.19156190989302935
2006-07-08 22:20:00,0.993491124260355,False,112,364,0.7,2.0,0.7742375967228038,0.22576240327719618
2006-07-08 22:30:00,1.040215984956958,False,122,364,0.7,2.0,0.7382953961869552,0.26170460381304483
2006-07-08 22:40:00,1.0888816050511498,False,132,364,0.7,2.0,0.7008603038068079,0.29913969619319214
2006-07-08 22:50:00,1.1391645246433315,False,142,364,0.7,2.0,0.662181134889745,0.33781886511025505
2006-07-08 23:00:00,1.1907412838339055,False,152,364,0.7,2.0,0.6225067047431495,0.3774932952568505
2006-07-08 23:10:00,1.2432884227232734,False,162,364,0.7,2.0,0.582085828674405,0.41791417132559505
2006-07-08 23:20:00,1.2964824814118376,False,172,364,0.7,2.0,0.541167321990894,0.458832678009106
2006-07-08 23:30:00,1.35,False,182,364,0.7,2.0,0.5,0.5
2006-07-08 23:40:00,1.4035175185881623,False,192,364,0.7,2.0,0.45883267800910593,0.5411673219908941
2006-07-08 23:50:00,1.4567115772767267,False,202,364,0.7,2.0,0.417914171325595,0.5820858286744051
2006-07-09 00:00:00,1.5092587161660944,False,212,364,0.7,2.0,0.37749329525685044,0.6225067047431496
2006-07-09 00:10:00,1.5608354753566687,False,222,364,0.7,2.0,0.337818865110255,0.6621811348897451
2006-07-09 00:20:00,1.6111183949488501,False,232,364,0.7,2.0,0.29913969619319214,0.7008603038068079
2006-07-09 00:30:00,1.6597840150430416,False,242,364,0.7,2.0,0.26170460381304494,0.738295396186955
2006-07-09 00:40:00,1.7065088757396447,False,252,364,0.7,2.0,0.22576240327719632,0.7742375967228037
2006-07-09 00:50:00,1.7509695171390618,False,262,364,0.7,2.0,0.19156190989302946,0.8084380901069705
2006-07-09 01:00:00,1.7928424793416944,False,272,364,0.7,2.0,0.15935193896792732,0.8406480610320727
2006-07-09 01:10:00,1.8318043024479445,False,282,364,0.7,2.0,0.12938130580927343,0.8706186941907266
2006-07-09 01:20:00,1.8675315265582142,False,292,364,0.7,2.0,0.10189882572445064,0.8981011742755494
2006-07-09 01:30:00,1.8997006917729051,False,302,364,0.7,2.0,0.07715331402084225,0.9228466859791578
2006-07-09 01:40:00,1.9279883381924197,False,312,364,0.7,2.0,0.055393586005831,0.944606413994169
2006-07-09 01:50:00,1.9520710059171595,False,322,364,0.7,2.0,0.0368684569868003,0.9631315430131997
2006-07-09 02:00:00,1.971625235047527,False,332,364,0.7,2.0,0.021826742271133126,0.9781732577288669
2006-07-09 02:10:00,1.9863275656839234,False,342,364,0.7,2.0,0.010517257166212657,0.9894827428337873
2006-07-09 02:20:00,1.9958545379267516,False,352,364,0.7,2.0,0.00318881697942186,0.9968111830205781
2006-07-09 02:30:00,1.9998826918764125,False,362,364,0.7,2.0,9.023701814414586e-05,0.9999097629818559
2006-07-09 02:32:00,2.0,True,0,0,,,,
2006-07-09 02:40:00,1.9982501672591546,False,8,403,2.0,0.5,0.9988334448394365,0.0011665551605635175
2006-07-09 02:50:00,1.9912899801861939,False,18,403,2.0,0.5,0.9941933201241292,0.005806679875870782
